user_id,age,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,sleep_quality,mood_rating,stress_level,physical_activity_hours_per_week,mental_health_score,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,weekly_anxiety_score,weekly_depression_score,mindfulness_minutes_per_day,gender_Female,gender_Male,gender_Other,location_type_Rural,location_type_Suburban,location_type_Urban
user_1,51,4.8,3.4,1.3,1.6,1.6,4.1,2.0,1.0,1.7,6.6,6,6,10,0.7,32,1,1,125.2,13,15,4.0,1.0,0.0,0.0,0.0,0.0,1.0
user_2,64,3.9,3.5,1.8,0.9,2.0,2.7,3.1,1.0,1.5,4.5,7,5,6,4.3,75,0,1,150.4,19,18,6.5,0.0,1.0,0.0,0.0,1.0,0.0
user_3,41,10.5,2.1,2.6,0.7,2.2,3.0,2.8,4.1,1.7,7.1,9,5,5,3.1,22,0,0,187.9,7,3,6.9,0.0,0.0,1.0,0.0,1.0,0.0
user_4,27,8.8,0.0,0.0,0.7,2.5,3.3,1.6,1.3,0.4,5.1,9,10,5,0.0,22,0,1,73.6,7,2,4.8,0.0,0.0,1.0,1.0,0.0,0.0
user_5,55,5.9,1.7,1.1,1.5,1.6,1.1,3.6,0.8,0.8,7.4,2,8,7,3.0,64,1,1,217.5,8,10,0.0,0.0,1.0,0.0,0.0,0.0,1.0
user_6,20,9.9,3.2,2.7,1.2,3.3,1.6,2.5,3.3,2.9,6.0,3,10,2,3.3,72,1,0,102.8,17,16,11.5,1.0,0.0,0.0,0.0,1.0,0.0
user_7,33,5.8,4.0,3.2,1.9,1.3,0.9,1.7,4.7,1.4,5.9,4,1,9,6.8,45,0,0,162.8,6,4,7.9,0.0,1.0,0.0,0.0,0.0,1.0
user_8,51,7.4,2.9,3.0,0.9,3.4,1.2,2.2,4.0,0.5,5.3,6,8,2,3.5,23,0,1,147.1,9,8,4.4,1.0,0.0,0.0,0.0,0.0,1.0
user_9,31,6.0,2.3,2.9,1.4,0.4,1.5,2.1,5.5,1.1,7.1,5,7,9,0.0,35,1,0,109.7,0,0,21.2,1.0,0.0,0.0,0.0,1.0,0.0
user_10,35,6.8,6.4,2.1,1.4,0.5,1.2,2.2,5.6,0.7,7.1,6,1,4,3.5,47,1,0,206.8,3,8,8.1,0.0,1.0,0.0,0.0,0.0,1.0
user_11,23,6.6,2.4,1.0,1.3,0.6,2.3,1.8,1.3,2.1,6.0,8,9,10,3.3,27,0,1,110.3,19,3,10.5,1.0,0.0,0.0,0.0,1.0,0.0
user_12,23,5.2,3.9,1.8,0.7,2.5,2.5,2.4,2.1,0.6,8.7,2,4,10,4.2,73,0,1,220.9,3,15,16.4,0.0,1.0,0.0,0.0,1.0,0.0
user_13,36,8.2,1.0,0.0,1.2,0.7,0.4,2.9,0.5,1.2,6.5,6,7,6,8.3,59,0,0,183.4,13,14,0.0,0.0,1.0,0.0,0.0,0.0,1.0
user_14,48,7.4,1.4,3.3,1.0,3.0,1.6,2.5,1.0,0.5,6.5,9,3,1,1.9,35,0,0,112.5,4,9,9.8,1.0,0.0,0.0,0.0,0.0,1.0
user_15,52,8.1,4.0,1.2,0.9,1.0,1.6,2.5,3.9,3.4,6.6,5,8,5,1.7,50,0,1,90.1,4,4,16.3,0.0,1.0,0.0,0.0,0.0,1.0
user_16,36,6.6,4.6,1.5,0.6,1.9,0.2,1.9,2.9,1.8,5.7,1,4,6,3.9,42,0,1,203.3,18,15,9.3,1.0,0.0,0.0,1.0,0.0,0.0
user_17,15,4.2,2.4,3.1,0.0,2.1,1.1,0.9,4.4,1.8,5.3,8,2,9,6.7,21,1,1,92.9,20,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0
user_18,34,9.4,0.2,0.4,1.6,0.5,3.0,0.6,1.4,1.9,6.1,4,2,9,4.3,28,1,1,143.3,4,15,6.1,0.0,0.0,1.0,0.0,0.0,1.0
user_19,14,5.5,2.7,0.8,1.2,0.1,3.0,1.2,1.8,0.8,7.3,8,8,9,2.3,46,0,1,184.8,10,3,11.5,0.0,1.0,0.0,0.0,1.0,0.0
user_20,36,6.7,3.3,2.3,0.3,1.8,0.0,1.5,3.3,2.7,4.3,4,8,3,5.0,64,1,1,173.2,1,20,0.0,1.0,0.0,0.0,1.0,0.0,0.0
user_21,56,7.3,3.1,2.5,1.4,1.2,2.6,4.0,3.9,1.1,4.7,8,1,4,6.6,73,1,0,139.9,14,14,0.0,1.0,0.0,0.0,1.0,0.0,0.0
user_22,42,6.7,2.2,1.9,1.6,2.0,0.2,3.5,0.4,3.0,5.8,9,6,8,1.5,78,0,0,113.5,13,2,25.8,0.0,1.0,0.0,0.0,0.0,1.0
user_23,50,7.8,2.8,2.0,1.4,0.2,1.5,1.3,2.2,0.9,4.3,5,9,8,1.0,78,1,1,186.1,13,18,13.9,0.0,0.0,1.0,0.0,0.0,1.0
user_24,14,8.1,1.9,3.3,0.6,1.1,1.9,2.5,3.0,1.9,4.8,5,9,2,3.1,41,0,0,56.0,7,8,21.9,1.0,0.0,0.0,0.0,1.0,0.0
user_25,33,5.6,1.3,2.6,0.6,1.3,2.9,1.9,3.5,1.4,7.5,2,2,8,3.6,63,1,0,163.0,19,4,16.9,1.0,0.0,0.0,1.0,0.0,0.0
user_26,45,9.3,4.1,2.5,0.7,0.0,1.8,2.3,3.8,1.5,6.0,9,8,7,5.8,53,0,0,85.2,7,15,13.2,1.0,0.0,0.0,0.0,0.0,1.0
user_27,24,5.5,3.1,2.8,1.4,2.5,0.8,1.3,2.4,0.0,5.5,4,8,9,2.1,28,0,1,106.1,4,2,7.5,0.0,0.0,1.0,0.0,0.0,1.0
user_28,34,6.7,2.8,1.7,1.2,0.7,0.6,4.7,0.9,0.2,6.7,3,4,5,3.8,52,0,1,168.4,4,7,13.0,0.0,0.0,1.0,0.0,0.0,1.0
user_29,56,5.2,2.2,4.2,2.4,3.0,2.2,4.2,0.0,2.7,6.6,2,4,2,6.1,57,0,0,112.5,13,13,21.6,1.0,0.0,0.0,0.0,0.0,1.0
user_30,37,4.7,2.7,0.0,0.2,0.8,1.2,1.6,2.3,0.0,7.9,3,5,5,3.4,75,0,1,207.9,4,2,16.6,1.0,0.0,0.0,0.0,1.0,0.0
user_31,61,8.1,3.2,3.5,1.0,1.0,1.5,1.3,2.1,2.1,4.4,4,10,2,2.2,53,1,0,185.3,8,15,11.3,0.0,1.0,0.0,0.0,0.0,1.0
user_32,39,12.2,5.6,2.9,0.0,0.3,3.2,3.1,1.5,3.8,5.4,9,7,5,4.1,54,1,1,115.1,10,6,8.6,0.0,1.0,0.0,0.0,0.0,1.0
user_33,54,5.3,4.0,2.2,1.3,2.6,2.5,0.5,3.7,1.8,5.8,6,1,9,2.3,77,0,1,138.7,16,8,14.0,1.0,0.0,0.0,0.0,0.0,1.0
user_34,40,8.4,2.0,2.1,1.5,2.0,3.9,3.0,1.0,3.3,7.0,10,9,7,3.7,66,0,1,94.8,11,2,5.7,0.0,1.0,0.0,0.0,0.0,1.0
user_35,28,5.3,2.0,1.8,1.7,2.9,0.8,2.2,1.6,1.9,10.0,5,3,7,2.6,45,1,0,173.6,11,7,14.0,1.0,0.0,0.0,0.0,0.0,1.0
user_36,27,6.0,1.8,3.1,1.1,1.3,1.1,0.3,4.0,1.5,7.2,9,4,1,2.7,26,0,0,228.4,15,11,4.4,0.0,1.0,0.0,0.0,0.0,1.0
user_37,59,9.5,2.7,2.0,0.0,1.5,2.2,1.8,1.5,1.6,6.2,8,7,9,2.2,64,0,0,90.2,0,16,7.2,0.0,1.0,0.0,1.0,0.0,0.0
user_38,63,3.9,1.8,1.3,1.0,0.0,4.2,1.2,2.9,1.0,5.0,6,5,6,1.9,67,1,1,159.4,17,13,1.8,1.0,0.0,0.0,0.0,0.0,1.0
user_39,56,3.3,3.7,2.9,1.2,0.9,1.0,2.2,2.5,1.0,4.9,3,5,7,5.0,64,1,1,166.2,5,15,6.5,0.0,0.0,1.0,0.0,1.0,0.0
user_40,64,5.8,0.0,3.6,0.5,1.7,2.0,2.1,2.8,0.7,7.6,7,1,2,3.4,46,1,1,87.5,4,18,4.5,0.0,1.0,0.0,1.0,0.0,0.0
user_41,15,7.3,3.8,0.1,0.9,1.9,3.6,0.4,3.6,1.6,5.5,10,2,1,5.5,31,0,0,99.6,17,3,23.5,1.0,0.0,0.0,0.0,0.0,1.0
user_42,49,6.9,3.4,4.4,0.4,3.3,2.1,1.6,2.9,3.4,6.1,6,5,4,0.0,36,0,1,59.6,12,2,2.8,1.0,0.0,0.0,0.0,0.0,1.0
user_43,63,6.7,4.9,1.0,0.7,0.0,3.2,2.7,0.7,2.6,8.5,8,2,9,2.0,40,1,0,178.0,5,12,13.1,0.0,1.0,0.0,0.0,0.0,1.0
user_44,19,6.1,4.3,1.0,1.5,1.7,4.3,2.9,0.9,1.4,4.4,6,1,9,1.5,62,1,0,132.0,6,8,2.4,1.0,0.0,0.0,0.0,1.0,0.0
user_45,33,7.6,2.0,0.8,1.3,1.1,2.4,1.6,2.9,1.8,6.8,10,10,3,2.5,41,1,1,113.7,2,12,10.4,0.0,1.0,0.0,0.0,1.0,0.0
user_46,21,0.2,4.1,2.0,0.3,1.6,2.6,2.5,1.3,1.1,5.4,4,3,1,0.9,45,0,0,253.2,10,11,12.3,0.0,1.0,0.0,0.0,0.0,1.0
user_47,51,4.5,2.7,0.7,0.6,1.6,2.9,2.3,3.7,2.6,8.5,10,1,2,0.0,58,1,0,59.9,7,20,0.0,0.0,0.0,1.0,1.0,0.0,0.0
user_48,30,5.8,0.1,0.8,1.0,1.3,0.9,1.9,2.9,0.0,5.4,7,10,9,4.3,32,0,0,214.3,3,14,0.0,0.0,1.0,0.0,0.0,1.0,0.0
user_49,16,7.4,3.2,1.3,1.1,0.4,0.2,2.6,0.3,3.1,7.3,7,8,9,1.8,61,0,0,42.3,9,2,2.4,1.0,0.0,0.0,0.0,0.0,1.0
user_50,37,9.0,2.1,2.1,0.7,0.2,2.2,0.9,5.0,0.7,4.3,8,8,1,4.1,61,0,0,124.0,8,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
user_51,26,4.2,3.0,2.2,1.2,1.2,1.2,2.0,2.0,0.8,8.4,2,8,9,0.6,64,1,1,65.1,12,1,10.7,0.0,1.0,0.0,0.0,0.0,1.0
