user_id,age,gender,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,sleep_quality,mood_rating,stress_level,physical_activity_hours_per_week,location_type,mental_health_score,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,weekly_anxiety_score,weekly_depression_score,mindfulness_minutes_per_day
user_1,51,Female,4.8,3.4,1.3,1.6,1.6,4.1,2.0,1.0,1.7,6.6,6,6,10,0.7,Urban,32,1,1,125.2,13,15,4.0
user_2,64,Male,3.9,3.5,1.8,0.9,2.0,2.7,3.1,1.0,1.5,4.5,7,5,6,4.3,Suburban,75,0,1,150.4,19,18,6.5
user_3,41,Other,10.5,2.1,2.6,0.7,2.2,3.0,2.8,4.1,1.7,7.1,9,5,5,3.1,Suburban,22,0,0,187.9,7,3,6.9
user_4,27,Other,8.8,0.0,0.0,0.7,2.5,3.3,1.6,1.3,0.4,5.1,9,10,5,0.0,Rural,22,0,1,73.6,7,2,4.8
user_5,55,Male,5.9,1.7,1.1,1.5,1.6,1.1,3.6,0.8,0.8,7.4,2,8,7,3.0,Urban,64,1,1,217.5,8,10,0.0
user_6,20,Female,9.9,3.2,2.7,1.2,3.3,1.6,2.5,3.3,2.9,6.0,3,10,2,3.3,Suburban,72,1,0,102.8,17,16,11.5
user_7,33,Male,5.8,4.0,3.2,1.9,1.3,0.9,1.7,4.7,1.4,5.9,4,1,9,6.8,Urban,45,0,0,162.8,6,4,7.9
user_8,51,Female,7.4,2.9,3.0,0.9,3.4,1.2,2.2,4.0,0.5,5.3,6,8,2,3.5,Urban,23,0,1,147.1,9,8,4.4
user_9,31,Female,6.0,2.3,2.9,1.4,0.4,1.5,2.1,5.5,1.1,7.1,5,7,9,0.0,Suburban,35,1,0,109.7,0,0,21.2
user_10,35,Male,6.8,6.4,2.1,1.4,0.5,1.2,2.2,5.6,0.7,7.1,6,1,4,3.5,Urban,47,1,0,206.8,3,8,8.1
user_11,23,Female,6.6,2.4,1.0,1.3,0.6,2.3,1.8,1.3,2.1,6.0,8,9,10,3.3,Suburban,27,0,1,110.3,19,3,10.5
user_12,23,Male,5.2,3.9,1.8,0.7,2.5,2.5,2.4,2.1,0.6,8.7,2,4,10,4.2,Suburban,73,0,1,220.9,3,15,16.4
user_13,36,Male,8.2,1.0,0.0,1.2,0.7,0.4,2.9,0.5,1.2,6.5,6,7,6,8.3,Urban,59,0,0,183.4,13,14,0.0
user_14,48,Female,7.4,1.4,3.3,1.0,3.0,1.6,2.5,1.0,0.5,6.5,9,3,1,1.9,Urban,35,0,0,112.5,4,9,9.8
user_15,52,Male,8.1,4.0,1.2,0.9,1.0,1.6,2.5,3.9,3.4,6.6,5,8,5,1.7,Urban,50,0,1,90.1,4,4,16.3
user_16,36,Female,6.6,4.6,1.5,0.6,1.9,0.2,1.9,2.9,1.8,5.7,1,4,6,3.9,Rural,42,0,1,203.3,18,15,9.3
user_17,15,Male,4.2,2.4,3.1,0.0,2.1,1.1,0.9,4.4,1.8,5.3,8,2,9,6.7,Urban,21,1,1,92.9,20,5,0.0
user_18,34,Other,9.4,0.2,0.4,1.6,0.5,3.0,0.6,1.4,1.9,6.1,4,2,9,4.3,Urban,28,1,1,143.3,4,15,6.1
user_19,14,Male,5.5,2.7,0.8,1.2,0.1,3.0,1.2,1.8,0.8,7.3,8,8,9,2.3,Suburban,46,0,1,184.8,10,3,11.5
user_20,36,Female,6.7,3.3,2.3,0.3,1.8,0.0,1.5,3.3,2.7,4.3,4,8,3,5.0,Rural,64,1,1,173.2,1,20,0.0
